"Type","Categories","SKU","Name","Published","Visibility in catalog","In stock?","Regular price","Sale price","Attribute 1 name","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 visible","Attribute 2 global","Images","Attribute 1 value(s)","Attribute 2 value(s)","Parent"
"variation","","SKUE64155-Black","Abstract Cartoon Slogan Short Sleeve Shirts-Black",1,"visible",1,18.01,18.01,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/BE/75/c9dff9c8-4294-4408-9259-1c18c6d5866a.jpg","Black","","SKUE64155"
"variation","","SKUE64155-White","Abstract Cartoon Slogan Short Sleeve Shirts-White",1,"visible",1,18.01,18.01,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/36/0A/be68f0b1-985f-4d62-9358-e6cdac25154a.jpg","White","","SKUE64155"
"variable","T-Shirts","SKUA03398","Vintage Solid V-neck Half Sleeve T-Shirt",1,"visible",1,19.92,19.92,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/A9/8F/ff148663-340f-4eaf-9530-2bf32dc44bde.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/8F/89/3153e4d5-a9ab-46c5-8d87-195fcd336893.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/7B/68/d18b2f8e-ca0c-4699-9460-01dad1bdbcb8.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/A4/FD/2dcc23ac-8222-445d-b300-a8a9afaa39a7.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/A3/09/6d7bd956-dc2e-4ee4-8bf5-fe7915f0c3b1.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/7E/87/cd850e7c-d90c-49c6-afad-f650b3d83ff5.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/23/32/5346efc4-ad81-46c9-abf7-7c6862a0a052.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/85/A9/f95cb4bb-d860-4f5c-8109-f4395d15121c.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/8D/67/1c93cdb2-e861-48f7-a178-727e0cae3752.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/8F/89/3153e4d5-a9ab-46c5-8d87-195fcd336893.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/A9/8F/ff148663-340f-4eaf-9530-2bf32dc44bde.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/7B/68/d18b2f8e-ca0c-4699-9460-01dad1bdbcb8.jpg","Black,Light Blue,White","ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL,ASIA 5XL,ASIA 6XL",""
"variation","","SKUA03398-Black","Vintage Solid V-neck Half Sleeve T-Shirt-Black",1,"visible",1,19.92,19.92,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/8F/89/3153e4d5-a9ab-46c5-8d87-195fcd336893.jpg","Black","","SKUA03398"
"variation","","SKUA03398-Light Blue","Vintage Solid V-neck Half Sleeve T-Shirt-Light Blue",1,"visible",1,19.92,19.92,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/A9/8F/ff148663-340f-4eaf-9530-2bf32dc44bde.jpg","Light Blue","","SKUA03398"
"variation","","SKUA03398-White","Vintage Solid V-neck Half Sleeve T-Shirt-White",1,"visible",1,19.92,19.92,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/7B/68/d18b2f8e-ca0c-4699-9460-01dad1bdbcb8.jpg","White","","SKUA03398"
"variable","Henley Shirts","SKUC33481","Mens Cotton Stand Collar Long Sleeve Henley Shirt",1,"visible",1,15.36,15.36,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/53/27/6c3cdfd8-43b7-47f3-ae51-3f2436b4ca0e.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/C0/57/4e135c80-cac7-41ae-ac6d-8dd95de86480.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/B2/65/a95c074b-a06a-4719-a476-d852dc695762.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/33/94/4345b3a6-fe5d-4002-966c-a01c731bc1c8.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/06/6F/09d95385-a3fe-4fe0-8a56-ab553e1ffc6b.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/F4/B4/6ee68592-dc2c-460c-89ca-09172bef025e.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/B5/3B/c2f971f4-28dd-4ecd-b16b-772e67614549.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/ser1/newchic/images/6B/2B/bb9c038d-0f5e-467c-8f63-23d2f09d9ab7.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/4F/97/3d3c8446-9ca1-4849-8438-7700091cfda9.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/74/21/241448fd-28a4-4e7f-8cb0-89b45da2ecb7.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/71/39/e173f34d-89a6-4f65-97d4-69d20bf78690.jpg","Red,Blue,Black","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL,ASIA 5XL,ASIA 6XL,ASIA 7XL",""
"variation","","SKUC33481-Red","Mens Cotton Stand Collar Long Sleeve Henley Shirt-Red",1,"visible",1,15.36,15.36,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/4F/97/3d3c8446-9ca1-4849-8438-7700091cfda9.jpg","Red","","SKUC33481"
"variation","","SKUC33481-Blue","Mens Cotton Stand Collar Long Sleeve Henley Shirt-Blue",1,"visible",1,15.36,15.36,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/74/21/241448fd-28a4-4e7f-8cb0-89b45da2ecb7.jpg","Blue","","SKUC33481"
"variation","","SKUC33481-Black","Mens Cotton Stand Collar Long Sleeve Henley Shirt-Black",1,"visible",1,15.36,15.36,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/71/39/e173f34d-89a6-4f65-97d4-69d20bf78690.jpg","Black","","SKUC33481"
"variable","Flats","SKUE68011","Menico Men Hand Stitching Casual Leather Shoes",1,"visible",1,45.99,45.99,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/26/AC/229f3898-5740-4d8c-92f7-89db58ca94b8.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/CD/3F/c7ee3c25-a27a-4fef-b45a-9ebb4d38324f.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/90/31/5d0416ee-9184-410c-ba12-2e6cf95673cc.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/4A/A7/8c32abcf-0000-4bd2-b476-956608e6659f.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/62/94/65701885-48a5-43a3-a4e9-7bd89572faa5.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/38/6C/75b7335a-47fc-4287-ab2c-883f42fb7cd8.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/61/96/4344b642-9580-4758-bf44-f3f66c3e04cb.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/EB/3B/10f9eb6d-c1e1-45dc-acc0-f13f5696b83a.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/F4/8B/8ccda402-0b6d-4803-95cf-bc148eb1b68d.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/4A/7C/1651e67f-b74c-4b81-b2a9-b2e83097a7cb.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/90/3B/f1a4a12e-089a-448b-87db-a4211a97d1e1.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/07/77/afc1a647-565b-4747-ad32-b4f141156b76.jpeg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E1/0E/8a23b2ca-f762-4462-801d-682d2efeb153.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/B9/FA/df9ef536-39ac-489a-9457-299100ac0fda.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/7D/F1/a1c23992-b890-427a-825e-358fb9103691.jpeg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/6A/7B/5eb6a937-9c9a-4aab-b9b6-22c2324352fb.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/C7/AF/e0f2545a-5c29-4bf8-9815-cf6233dfd258.jpg","Black,Blue,Brown,Green,Khaki","ASIA 39,ASIA 40,ASIA 41,ASIA 42,ASIA 43,ASIA 44,ASIA 45,ASIA 46,ASIA 47,ASIA 48",""
"variation","","SKUE68011-Black","Menico Men Hand Stitching Casual Leather Shoes-Black",1,"visible",1,45.99,45.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E1/0E/8a23b2ca-f762-4462-801d-682d2efeb153.jpg","Black","","SKUE68011"
"variation","","SKUE68011-Blue","Menico Men Hand Stitching Casual Leather Shoes-Blue",1,"visible",1,45.99,45.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/B9/FA/df9ef536-39ac-489a-9457-299100ac0fda.jpg","Blue","","SKUE68011"
"variation","","SKUE68011-Brown","Menico Men Hand Stitching Casual Leather Shoes-Brown",1,"visible",1,45.99,45.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/7D/F1/a1c23992-b890-427a-825e-358fb9103691.jpeg","Brown","","SKUE68011"
"variation","","SKUE68011-Green","Menico Men Hand Stitching Casual Leather Shoes-Green",1,"visible",1,45.99,45.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/6A/7B/5eb6a937-9c9a-4aab-b9b6-22c2324352fb.jpg","Green","","SKUE68011"
"variation","","SKUE68011-Khaki","Menico Men Hand Stitching Casual Leather Shoes-Khaki",1,"visible",1,45.99,45.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/C7/AF/e0f2545a-5c29-4bf8-9815-cf6233dfd258.jpg","Khaki","","SKUE68011"
"variable","Plus Size Jumpsuits & Rompers","SKUA32319","Bohemian Solid Color Straps Loose Jumpsuit",1,"visible",1,16.72,16.72,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/30/34/3fb522cd-ae7c-4239-8fc9-3155d986023a.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/4C/05/b00e2222-b77b-4812-af6e-5fcab4ff79f8.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/A2/78/e66fe603-24cc-42e9-9feb-f5a37c4e54ef.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/61/59/133ae1c6-4bfb-43a5-a294-ea1bfe41e60f.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/72/FC/efed1f04-b943-4e8c-8577-cfc48a865289.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E5/35/6a65dc8e-994b-45f2-8572-7d9269fe0448.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/AF/A4/9f1bc916-2fd7-4f34-9b5f-d586c057988e.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/05/A4/4f60a1d5-1361-4083-b98a-f29b7355d60d.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/92/62/9700f7e1-8ba3-4b35-89ac-01109c973ce8.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E1/56/33d824fa-d6fc-426a-a6ab-6f74014bcf5d.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/30/34/3fb522cd-ae7c-4239-8fc9-3155d986023a.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/AF/A4/9f1bc916-2fd7-4f34-9b5f-d586c057988e.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/92/62/9700f7e1-8ba3-4b35-89ac-01109c973ce8.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/C7/08/7392dbe9-8bf3-4c07-88d9-2779dcbe1b6d.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/A2/78/e66fe603-24cc-42e9-9feb-f5a37c4e54ef.jpg","Blue,Grey,Black,Khaki,Wine Red","ASIA L,ASIA XL,ASIA XXL,ASIA 3XL,ASIA 4XL,ASIA 5XL,ASIA 6XL,ASIA 7XL",""
"variation","","SKUA32319-Blue","Bohemian Solid Color Straps Loose Jumpsuit-Blue",1,"visible",1,16.72,16.72,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/30/34/3fb522cd-ae7c-4239-8fc9-3155d986023a.jpg","Blue","","SKUA32319"
"variation","","SKUA32319-Grey","Bohemian Solid Color Straps Loose Jumpsuit-Grey",1,"visible",1,16.72,16.72,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/AF/A4/9f1bc916-2fd7-4f34-9b5f-d586c057988e.jpg","Grey","","SKUA32319"
"variation","","SKUA32319-Black","Bohemian Solid Color Straps Loose Jumpsuit-Black",1,"visible",1,16.72,16.72,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/92/62/9700f7e1-8ba3-4b35-89ac-01109c973ce8.jpg","Black","","SKUA32319"
"variation","","SKUA32319-Khaki","Bohemian Solid Color Straps Loose Jumpsuit-Khaki",1,"visible",1,16.72,16.72,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/C7/08/7392dbe9-8bf3-4c07-88d9-2779dcbe1b6d.jpg","Khaki","","SKUA32319"
"variation","","SKUA32319-Wine Red","Bohemian Solid Color Straps Loose Jumpsuit-Wine Red",1,"visible",1,16.72,16.72,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/A2/78/e66fe603-24cc-42e9-9feb-f5a37c4e54ef.jpg","Wine Red","","SKUA32319"
"variable","Shirts","SKUF63190","Ethnic Floral Print Casual Shirts",1,"visible",1,17.93,17.93,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/AC/34/d6fccedb-a597-4369-876b-9914614b8157.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/43/59/ea236dd3-a863-46e3-a33d-7dee049a0883.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/12/7F/690c8bf8-04c1-4b38-8fe0-4aedf97adda0.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/5B/31/d7de3baf-6aee-45c1-9803-7b8caa660559.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/BC/30/d7930b8d-76a1-462d-86a1-9849d9a00805.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/80/6A/4a6cac24-1ff9-48d5-830f-2edcec659a3c.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/42/61/cecdc3f4-40b3-47d7-9e72-ef38792de8b1.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/AC/34/d6fccedb-a597-4369-876b-9914614b8157.jpg","Black","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL",""
"variation","","SKUF63190-Black","Ethnic Floral Print Casual Shirts-Black",1,"visible",1,17.93,17.93,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/AC/34/d6fccedb-a597-4369-876b-9914614b8157.jpg","Black","","SKUF63190"
"variable","T-Shirts","SKUE55826","Chinese Style Printed T-shirts",1,"visible",1,21.24,21.24,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/49/44/93155dd3-6894-4faf-a615-fa9399e83701.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/31/86/42138b98-fa9a-4b44-a0a3-0a486ed1bb4f.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/52/82/df009d43-6bb5-4a82-98f6-474738d3c3b1.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/EF/32/c18c8b6d-bd81-415e-bea7-5545a7e36e8f.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/98/D7/ba5f6ccc-6434-481f-b555-642e88c7c57f.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/F3/E2/054a512b-051c-4706-8658-fc7e7307d28c.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/CF/3B/e4338fff-45cf-48b5-870d-07d5be131dcc.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/49/E1/fc82378f-b1f7-4317-8f34-8abad5882985.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/62/50/1cfc59fc-b824-4ed9-8c3e-4da28efab92f.JPG?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/31/86/42138b98-fa9a-4b44-a0a3-0a486ed1bb4f.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/52/82/df009d43-6bb5-4a82-98f6-474738d3c3b1.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/49/44/93155dd3-6894-4faf-a615-fa9399e83701.jpg","White,Grey,Black","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL",""
"variation","","SKUE55826-White","Chinese Style Printed T-shirts-White",1,"visible",1,21.24,21.24,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/31/86/42138b98-fa9a-4b44-a0a3-0a486ed1bb4f.jpg","White","","SKUE55826"
"variation","","SKUE55826-Grey","Chinese Style Printed T-shirts-Grey",1,"visible",1,21.24,21.24,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/52/82/df009d43-6bb5-4a82-98f6-474738d3c3b1.jpg","Grey","","SKUE55826"
"variation","","SKUE55826-Black","Chinese Style Printed T-shirts-Black",1,"visible",1,21.24,21.24,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/49/44/93155dd3-6894-4faf-a615-fa9399e83701.jpg","Black","","SKUE55826"
"variable","T-Shirts","SKUG18662","100% Cotton Cartoon Planet Print T-Shirt",1,"visible",1,14.94,14.94,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/99/46/7e4063b7-4359-4855-84a0-79b1c241a495.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/EB/38/f090d4bf-8b93-41e2-8215-3688bedb5588.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/7F/84/5b452f7c-c63f-402d-9404-ccb9ec031629.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/F2/3A/ddb4d1a3-07e8-456b-bf66-9363664c4e55.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/E3/80/b2731d90-6e2f-4dda-b208-64a7f86f3627.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/D9/20/f4c81fb5-8426-484d-ae17-b5041417c80d.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/81/B9/c7ded68c-d31f-4e9a-8d9a-769b3bbed75d.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/EB/38/f090d4bf-8b93-41e2-8215-3688bedb5588.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/99/46/7e4063b7-4359-4855-84a0-79b1c241a495.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/7F/84/5b452f7c-c63f-402d-9404-ccb9ec031629.jpg","Khaki,Black,Blue","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL",""
"variation","","SKUG18662-Khaki","100% Cotton Cartoon Planet Print T-Shirt-Khaki",1,"visible",1,14.94,14.94,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/EB/38/f090d4bf-8b93-41e2-8215-3688bedb5588.jpg","Khaki","","SKUG18662"
"variation","","SKUG18662-Black","100% Cotton Cartoon Planet Print T-Shirt-Black",1,"visible",1,14.94,14.94,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/99/46/7e4063b7-4359-4855-84a0-79b1c241a495.jpg","Black","","SKUG18662"
"variation","","SKUG18662-Blue","100% Cotton Cartoon Planet Print T-Shirt-Blue",1,"visible",1,14.94,14.94,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/7F/84/5b452f7c-c63f-402d-9404-ccb9ec031629.jpg","Blue","","SKUG18662"
"variable","Shirts","SKUF85419","Colorblock Patchwork Corduroy Shirts",1,"visible",1,27.99,25.19,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/19/B0/d1471323-52fb-4d3d-8101-d45885105f20.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/2A/19/e8e3da4f-71d5-4408-a4d9-8f06c86b5abd.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/39/96/1ba0d0f3-eb53-438c-b9f5-3bc6a856b940.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/3C/6C/0bd747f2-a88c-47cb-af8c-5c1921cf26da.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/75/47/9cde98f0-3d4d-4b18-aab2-75d1adc21fdd.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/7A/F2/8bec675e-c2ec-40aa-8ae1-74791a30f0ed.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/04/34/bb228e2c-b9af-457e-a781-7b00a0bf35d2.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/9E/DB/fc331e63-8430-48a8-9905-9acaf978d7a0.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/BD/09/1805d23b-a3da-4031-9f6e-881cbbeb3cb3.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/19/B0/d1471323-52fb-4d3d-8101-d45885105f20.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/9E/DB/fc331e63-8430-48a8-9905-9acaf978d7a0.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/BD/09/1805d23b-a3da-4031-9f6e-881cbbeb3cb3.jpg","Green,Brown,Blue","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL",""
"variation","","SKUF85419-Green","Colorblock Patchwork Corduroy Shirts-Green",1,"visible",1,27.99,25.19,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/19/B0/d1471323-52fb-4d3d-8101-d45885105f20.jpg","Green","","SKUF85419"
"variation","","SKUF85419-Brown","Colorblock Patchwork Corduroy Shirts-Brown",1,"visible",1,27.99,25.19,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/9E/DB/fc331e63-8430-48a8-9905-9acaf978d7a0.jpg","Brown","","SKUF85419"
"variation","","SKUF85419-Blue","Colorblock Patchwork Corduroy Shirts-Blue",1,"visible",1,27.99,25.19,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/BD/09/1805d23b-a3da-4031-9f6e-881cbbeb3cb3.jpg","Blue","","SKUF85419"
"variable","T-Shirts","SKUF20434","Sample Cartoon Cat Graphic T-Shirt",1,"visible",1,14.99,14.99,"Color",1,1,"Size",1,1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/06/84/167f5d6d-a1b7-4353-b050-c9b5c2f64a4c.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/2A/7E/15f8f71d-eb8b-4226-a2cb-22abd4787eb9.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/10/50/4322aacf-db61-43e4-8b00-f71ffe2eb0a8.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/EC/B4/2fd65b9b-9db6-4bb4-a7c1-650faf254fbf.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/EB/E5/969d0997-2423-4a2b-8bac-e6c7cf828b67.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/32/2E/20504c43-14fe-4abd-b2a8-604f8ab746e2.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/4F/16/854c8571-1474-487f-9639-003c0900a589.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/F0/35/e0778f74-a048-4b17-8d4c-70c752ee5c76.jpg?s=702x936,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/2A/7E/15f8f71d-eb8b-4226-a2cb-22abd4787eb9.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/DC/FC/5a85a380-b6e4-4c73-b5f1-e34e041d304d.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/EC/B4/2fd65b9b-9db6-4bb4-a7c1-650faf254fbf.jpg,https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/06/84/167f5d6d-a1b7-4353-b050-c9b5c2f64a4c.jpg","White,Light Blue,Green,Yellow","ASIA L,ASIA XL,ASIA 2XL,ASIA 3XL,ASIA 4XL",""
"variation","","SKUF20434-White","Sample Cartoon Cat Graphic T-Shirt-White",1,"visible",1,14.99,14.99,"Color","",1,"Size","",1,"https://imgaz1.chiccdn.com/thumb/large/oaupload/newchic/images/2A/7E/15f8f71d-eb8b-4226-a2cb-22abd4787eb9.jpg","White","","SKUF20434"
